證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16
2330,台積電,24586789,"7,994",5864298571,239.00,240.00,236.50,239.50,+,1.5,239.00,63,239.50,299,17.69,
2331,精英,946350,251,12296047,13.00,13.10,12.85,12.85,-,0.2,12.85,76,12.90,5,0.00,
2332,友訊,3391195,"1,146",43974435,13.05,13.10,12.85,12.85,-,0.15,12.85,174,12.90,98,214.17,
2337,旺宏,85326608,"26,985",1988968588,23.85,24.00,23.00,23.10,-,0.6,23.05,779,23.10,290,4.88,
2338,光罩,7993306,"3,580",198079163,25.30,25.35,24.35,24.40,-,1.1,24.40,8,24.45,7,30.12,
2340,光磊,7615507,"2,104",154364226,20.30,20.50,19.95,20.30,,0.0,20.30,"1,438",20.35,33,14.71,
2342,茂矽,5111673,"2,342",126548753,24.80,25.60,24.25,24.30,+,0.1,24.30,27,24.35,2,18.84,
2344,華邦電,24201275,"7,704",375295938,15.75,15.90,15.30,15.30,-,0.35,15.30,610,15.35,285,8.18,
2345,智邦,5885356,"3,118",636752948,109.00,109.50,107.50,108.00,-,0.5,108.00,720,108.50,112,21.60,
2347,聯強,3250963,"1,666",121942458,37.55,37.65,37.30,37.30,-,0.25,37.30,61,37.50,46,8.84,
2348,海悅,167016,113,7737038,46.30,46.65,46.15,46.15,+,0.05,46.15,2,46.30,2,9.29,
2349,錸德,13021853,"3,605",146963639,11.55,11.55,11.10,11.10,-,0.55,11.10,422,11.15,53,0.00,
2351,順德,889070,657,72482742,82.00,82.50,80.30,80.40,-,0.6,80.40,42,80.90,4,18.44,
2352,佳世達,4265394,"1,581",85285448,19.95,20.05,19.90,20.00,+,0.1,20.00,223,20.05,403,8.93,
2353,宏碁,18306170,"6,144",377162720,21.00,21.05,20.30,20.30,-,0.65,20.30,584,20.35,129,17.20,
