<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.02.23	15:00:00	1.05685	1.05850	1.05618	1.05791	9510	7010824000	7
2017.02.23	16:00:00	1.05792	1.05876	1.05710	1.05810	7366	6059181000	8
2017.02.23	17:00:00	1.05809	1.05949	1.05757	1.05935	6958	5591540000	8
2017.02.23	18:00:00	1.05939	1.05940	1.05748	1.05851	7571	6117161000	8
2017.02.23	19:00:00	1.05851	1.05884	1.05634	1.05657	4831	4269762000	9
2017.02.23	20:00:00	1.05663	1.05733	1.05637	1.05695	4179	4082824000	9
2017.02.23	21:00:00	1.05694	1.05759	1.05665	1.05720	3409	3250104000	9
2017.02.23	22:00:00	1.05721	1.05822	1.05720	1.05818	3146	2536161000	9
2017.02.23	23:00:00	1.05818	1.05855	1.05771	1.05811	2017	1561203000	10
2017.02.24	00:00:00	1.05797	1.05820	1.05752	1.05774	1387	698536000	22
2017.02.24	01:00:00	1.05780	1.05858	1.05780	1.05836	1840	1117089000	11
2017.02.24	02:00:00	1.05837	1.05846	1.05732	1.05737	3990	3447378000	9
2017.02.24	03:00:00	1.05736	1.05763	1.05716	1.05742	3569	3788004000	9
2017.02.24	04:00:00	1.05742	1.05746	1.05692	1.05744	3181	3141852000	10
2017.02.24	05:00:00	1.05743	1.05823	1.05742	1.05811	2880	2880361000	9
2017.02.24	06:00:00	1.05811	1.05854	1.05802	1.05806	2932	2745085000	9
2017.02.24	07:00:00	1.05806	1.05828	1.05765	1.05803	2891	2997258000	10
2017.02.24	08:00:00	1.05803	1.05894	1.05763	1.05887	3546	3425880000	9
2017.02.24	09:00:00	1.05886	1.05986	1.05843	1.05952	5472	4742757000	8
2017.02.24	10:00:00	1.05952	1.06038	1.05740	1.05760	6755	5404611000	8
2017.02.24	11:00:00	1.05760	1.05950	1.05703	1.05931	6762	5336333000	8
2017.02.24	12:00:00	1.05929	1.05943	1.05830	1.05921	4448	3574753000	9
2017.02.24	13:00:00	1.05922	1.06100	1.05885	1.06076	5568	4499708000	8
2017.02.24	14:00:00	1.06077	1.06176	1.06031	1.06085	6930	5629416000	8
2017.02.24	15:00:00	1.06085	1.06175	1.06050	1.06134	7388	6380561000	8
2017.02.24	16:00:00	1.06134	1.06149	1.05651	1.05715	10067	8207007000	7
2017.02.24	17:00:00	1.05711	1.05895	1.05664	1.05664	8809	7276757000	7
